term_str,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
cruel,2274,39,8.220771993726919e-05,13.570366594006147,32.597671398390354,cruel,NN,NN,0
die,2668,52,0.0001096102932496,13.155329094727303,32.597671398390354,die,NN,NN,0
leaf,5986,49,0.0001032866224852,13.241058968753189,32.597671398390354,leaf,NN,NN,0
joy,5720,55,0.000115933964014,13.074409099343736,32.597671398390354,joy,NN,NN,0
hurry,5358,35,7.377615891806209e-05,13.726485795923429,32.597671398390354,hurri,NN,NN,0
threw,10789,38,8.009982968246742e-05,13.607841299424807,32.597671398390354,threw,NN,NN,0
rang,8274,40,8.431561019207097e-05,13.533840717981032,32.597671398390354,rang,NN,NN,0
wrath,12303,41,8.642350044687274e-05,13.498216808250312,32.597671398390354,wrath,NN,NN,0
blowing,1010,38,8.009982968246742e-05,13.607841299424807,32.597671398390354,blow,NN,NN,0
isn,5649,57,0.0001201497445237,13.022878798703651,32.597671398390354,isn,NN,NN,1
friendship,4176,32,6.745248815365677e-05,13.855768812868396,32.4191071419225,friendship,NN,NN,0
dol,2851,42,8.853139070167451e-05,13.463451390089634,32.4191071419225,dol,NN,NN,0
please,7800,26,5.480514662484612e-05,14.155329094727303,32.4191071419225,pleas,NN,NN,0
grave,4580,25,5.269725637004435e-05,14.21191262309367,32.4191071419225,grave,NN,NN,0
hood,5217,26,5.480514662484612e-05,14.155329094727303,32.4191071419225,hood,NN,NN,0
unseen,11504,26,5.480514662484612e-05,14.155329094727303,32.4191071419225,unseen,JJ,JJ,0
minute,6661,24,5.0589366115242574e-05,14.27080631214724,32.4191071419225,minut,NN,NN,0
pack,7449,38,8.009982968246742e-05,13.607841299424807,32.4191071419225,pack,NN,NN,0
shrill,9380,24,5.0589366115242574e-05,14.27080631214724,32.4191071419225,shrill,NN,NN,0
axe,561,51,0.0001075024029948,13.1833434708969,32.4191071419225,axe,NN,NN,0
outer,7349,38,8.009982968246742e-05,13.607841299424807,32.4191071419225,outer,NN,NN,0
shot,9350,41,8.642350044687274e-05,13.498216808250312,32.4191071419225,shot,NN,NN,0
halt,4802,31,6.5344597898855e-05,13.90157250248152,32.4191071419225,halt,NN,NN,0
blind,977,26,5.480514662484612e-05,14.155329094727303,32.4191071419225,blind,NN,NN,0
supper,10399,38,8.009982968246742e-05,13.607841299424807,32.4191071419225,supper,NN,NN,0
deed,2488,24,5.0589366115242574e-05,14.27080631214724,32.4191071419225,deed,NN,NN,0
delight,2536,29,6.112881738925145e-05,13.997787817740823,32.4191071419225,delight,NN,NN,0
reason,8339,31,6.5344597898855e-05,13.90157250248152,32.4191071419225,reason,NN,NN,0
sinking,9478,22,4.637358560563903e-05,14.396337194231098,32.4191071419225,sink,NN,NN,0
eaten,3137,27,5.69130368796479e-05,14.100881310704926,32.4191071419225,eaten,VB,VB,0
thrown,10815,23,4.84814758604408e-05,14.332206856811382,32.4191071419225,thrown,NN,NN,0
camp,1445,33,6.956037840845854e-05,13.811374693509942,32.4191071419225,camp,NN,NN,0
mortal,6790,32,6.745248815365677e-05,13.855768812868396,32.4191071419225,mortal,NN,NN,0
vision,11740,29,6.112881738925145e-05,13.997787817740823,32.4191071419225,vision,NN,NN,0
flung,3949,29,6.112881738925145e-05,13.997787817740823,32.4191071419225,flung,NN,NN,0
torment,10969,23,4.84814758604408e-05,14.332206856811382,32.4191071419225,torment,NN,NN,0
seat,9102,49,0.0001032866224852,13.241058968753189,32.4191071419225,seat,NN,NN,0
bite,916,23,4.84814758604408e-05,14.332206856811382,32.4191071419225,bite,NN,NN,0
fellow,3692,37,7.799193942766564e-05,13.646315447239443,32.4191071419225,fellow,NN,NN,0
fate,3637,31,6.5344597898855e-05,13.90157250248152,32.4191071419225,fate,NN,NN,0
glimmer,4436,20,4.215780509603548e-05,14.533840717981032,32.4191071419225,glimmer,NN,NN,0
bread,1190,26,5.480514662484612e-05,14.155329094727303,32.4191071419225,bread,NN,NN,0
number,7138,30,6.323670764405322e-05,13.948878217259876,32.4191071419225,number,NN,NN,0
wear,11943,24,5.0589366115242574e-05,14.27080631214724,32.4191071419225,wear,NN,NN,0
companion,1940,26,5.480514662484612e-05,14.155329094727303,32.4191071419225,companion,NN,NN,0
shadowy,9212,26,5.480514662484612e-05,14.155329094727303,32.4191071419225,shadowi,NN,NN,0
wherever,12038,20,4.215780509603548e-05,14.533840717981032,32.4191071419225,wherev,NN,NN,0
rough,8798,26,5.480514662484612e-05,14.155329094727303,32.4191071419225,rough,NN,NN,0
kill,5774,44,9.274717121127804e-05,13.396337194231098,32.4191071419225,kill,NN,NN,0
account,55,28,5.902092713444967e-05,14.04841389081079,32.4191071419225,account,NN,NN,0
stiff,10128,27,5.69130368796479e-05,14.100881310704926,32.4191071419225,stiff,NN,NN,0
yonder,12386,27,5.69130368796479e-05,14.100881310704926,32.4191071419225,yonder,NN,NN,0
angry,307,27,5.69130368796479e-05,14.100881310704926,32.4191071419225,angri,JJ,JJ,0
stuff,10303,29,6.112881738925145e-05,13.997787817740823,32.4191071419225,stuff,NN,NN,0
arch,394,46,9.69629517208816e-05,13.332206856811382,32.4191071419225,arch,NN,NN,0
lose,6269,29,6.112881738925145e-05,13.997787817740823,32.4191071419225,lose,VB,VB,0
spot,9929,25,5.269725637004435e-05,14.21191262309367,32.4191071419225,spot,NN,NN,0
stayed,10075,26,5.480514662484612e-05,14.155329094727303,32.4191071419225,stay,NN,NN,0
luck,6306,34,7.166826866326032e-05,13.768305971618055,32.4191071419225,luck,NN,NN,0
iron,5629,49,0.0001032866224852,13.241058968753189,32.38133782203198,iron,NN,NN,0
touch,10983,47,9.907084197568336e-05,13.301179961190758,32.38133782203198,touch,NN,NN,0
view,11714,39,8.220771993726919e-05,13.570366594006147,32.38133782203198,view,NN,NN,0
nay,6949,66,0.0001391207568169,12.811374693509942,32.38133782203198,nay,NN,NN,0
keen,5749,44,9.274717121127804e-05,13.396337194231098,32.38133782203198,keen,NN,NN,0
gimli,4395,390,0.0008220771993726,10.248438499118784,32.38133782203198,gimli,NN,NN,0
glance,4417,35,7.377615891806209e-05,13.726485795923429,32.38133782203198,glanc,NN,NN,0
cool,2076,55,0.000115933964014,13.074409099343736,32.38133782203198,cool,NN,NN,0
brief,1237,45,9.485506146607982e-05,13.36391571653872,32.38133782203198,brief,NN,NN,0
captain,1470,78,0.0001644154398745,12.570366594006147,32.38133782203198,captain,NN,NN,0
