book_id,chap_num,term_str,n,tfidf
1,1,displays,1,0.0005932246996499825
1,1,distance,1,7.036652355716745e-05
1,1,distantly,1,0.0004353127238881856
1,1,distributed,1,0.0005932246996499825
1,1,distribution,1,0.00049359333569661
1,1,district,2,0.001186449399299965
1,1,disturber,1,0.0005932246996499825
1,1,do,20,0.0
1,1,documents,2,0.001186449399299965
1,1,does,2,6.183921901208538e-05
1,1,doing,2,0.0001812896664398569
1,1,don,23,0.0005814886541449646
1,1,door,16,0.0012502083235142979
1,1,doors,1,9.506787988311998e-05
1,1,dora,2,0.001186449399299965
1,1,dotted,1,0.0003618878365546989
1,1,doubt,2,3.4439891772883436e-05
1,1,down,13,0.0
1,1,dozen,2,0.0004490896866087044
1,1,drag,1,0.0003135240996641697
1,1,dragon,2,0.0004720999919628812
1,1,dragons,2,0.0006713627198696263
1,1,drained,1,0.00033568135993481313
1,1,draught,1,0.00017776938417301614
1,1,drawer,1,0.0005932246996499825
1,1,dreaded,1,0.00033568135993481313
1,1,drew,3,2.8758189277464275e-05
1,1,drink,3,0.00023441406065893085
1,1,drinking,2,0.0004720999919628812
1,1,drinks,1,0.00049359333569661
1,1,driven,1,0.00012491347935097966
1,1,driving,2,0.000389398487672985
1,1,drogo,6,0.0017659836467391902
1,1,dropped,1,0.0001859852016674839
1,1,drownded,3,0.0014807800070898301
1,1,ducked,1,0.00039396197174323754
1,1,due,1,0.00017776938417301614
1,1,duty,1,0.0002245448433043522
1,1,dwarf,2,0.0001812896664398569
1,1,dwarves,7,0.0009977523642830564
1,1,dwindle,1,0.00049359333569661
1,1,each,2,9.212777006220992e-05
1,1,eager,1,0.00014253605204043662
1,1,eagerly,1,0.0002622564726013264
1,1,eagles,1,0.000294330607789865
1,1,ears,1,4.2904688087064094e-05
1,1,easier,2,0.00032525021729590774
1,1,easily,1,0.00021389273571079717
1,1,easy,1,8.218723656888599e-05
1,1,eating,5,0.001180249979907203
1,1,echo,1,0.00017776938417301614
1,1,effect,1,0.00033568135993481313
1,1,effects,1,0.00049359333569661
1,1,effort,1,0.00016262510864795387
1,1,either,2,7.357453614939108e-05
1,1,elderly,1,0.0005932246996499825
1,1,elders,2,0.0008706254477763712
1,1,eldest,2,0.0004971136179634508
1,1,elevenses,1,0.0005932246996499825
1,1,eleventh,1,0.00049359333569661
1,1,eleventy,5,0.002966123498249913
1,1,elf,2,0.00011888897195751551
1,1,else,3,9.275882851812807e-05
1,1,elves,1,5.259854096690018e-05
1,1,embattled,1,0.00049359333569661
1,1,embroidered,2,0.00098718667139322
1,1,empty,2,0.00010519708193380036
1,1,enchanting,1,0.0005932246996499825
1,1,end,29,0.0
1,1,ending,1,0.00016999788751053996
1,1,ends,1,0.00014253605204043662
1,1,engrossing,1,0.0005932246996499825
1,1,enjoy,1,0.00049359333569661
1,1,enjoyed,1,0.0004353127238881856
1,1,enjoying,1,0.0004353127238881856
1,1,enormous,2,0.0006713627198696263
1,1,enough,9,0.00013167007023646914
1,1,ensuing,1,0.0005932246996499825
1,1,entertainment,1,0.00049359333569661
1,1,entertainments,1,0.0005932246996499825
1,1,enthusiastic,1,0.0005932246996499825
1,1,entrance,1,0.00016262510864795387
1,1,envelope,5,0.002966123498249913
1,1,envied,1,0.0005932246996499825
1,1,er,1,0.00039396197174323754
1,1,erected,1,0.0005932246996499825
1,1,errands,1,0.00033568135993481313
1,1,escorted,1,0.0005932246996499825
1,1,esgaroth,1,0.0004353127238881856
1,1,esmeralda,1,0.0005932246996499825
1,1,especially,6,0.0007833058407564913
1,1,eve,1,0.00033568135993481313
1,1,even,10,0.0
1,1,evening,3,0.00011944030847142704
1,1,event,1,0.000294330607789865
1,1,events,1,0.00020397586079290192
1,1,eventually,1,0.00033568135993481313
1,1,ever,7,0.0
1,1,everard,1,0.0005932246996499825
1,1,every,11,0.0004719515689577051
1,1,everybody,1,0.00049359333569661
1,1,everyone,4,0.00117732243115946
1,1,everything,9,0.0011242213141588171
1,1,evicted,1,0.0005932246996499825
1,1,excavation,1,0.0005932246996499825
1,1,exceedingly,2,0.00098718667139322
1,1,excellent,1,0.00033568135993481313
1,1,except,4,0.0002967990215235331
1,1,exceptional,1,0.0005932246996499825
1,1,exceptionally,1,0.0005932246996499825
1,1,exceptions,1,0.0005932246996499825
1,1,excited,2,0.0008706254477763712
1,1,excitement,3,0.0011818859152297127
1,1,exclaimed,2,0.000389398487672985
1,1,expect,3,0.000374740438052939
1,1,expected,2,0.00021843485409172125
1,1,expensive,1,0.00049359333569661
1,1,explain,1,0.0002360499959814406
1,1,explosion,1,0.0005932246996499825
1,1,express,1,0.00049359333569661
1,1,expression,2,0.00058866121557973
1,1,eye,3,0.00011036180422408661
1,1,eyebrows,1,0.0004353127238881856
1,1,eyes,9,0.0
1,1,face,7,3.2991930203098315e-05
1,1,faces,2,0.00010519708193380036
1,1,facing,1,0.0001946992438364925
1,1,fact,6,0.0009757506518877232
1,1,fair,1,1.7219945886441718e-05
1,1,fallen,1,1.9857408411219154e-05
1,1,false,1,0.000294330607789865
1,1,fame,2,0.0006270481993283394
1,1,families,3,0.0013059381716645567
1,1,family,2,0.0005245129452026528
1,1,fancy,1,0.00017776938417301614
1,1,far,8,0.0
1,1,fastened,1,0.0003135240996641697
1,1,father,4,0.0006224484956094909
1,1,fault,1,0.0003135240996641697
1,1,favourite,4,0.0015758478869729502
1,1,feared,1,9.963136395337252e-05
1,1,fears,1,0.0001859852016674839
1,1,feast,3,0.0006416782071323916
1,1,fed,1,0.0002360499959814406
1,1,feel,5,0.0001839363403734777
1,1,feeling,2,0.0001407330471143349
1,1,feet,5,4.793031546244046e-05
1,1,fell,4,1.8852531544627607e-05
1,1,fellow,2,0.0003399957750210799
1,1,felt,5,0.00011272086072714755
1,1,female,1,0.0005932246996499825
1,1,few,8,7.668850473990473e-05
1,1,fewer,1,0.00033568135993481313
1,1,fiddlesticks,1,0.0005932246996499825
1,1,fidgeting,1,0.00049359333569661
1,1,field,6,0.0006553045622751637
1,1,fields,2,0.0001407330471143349
1,1,fifty,2,0.0004720999919628812
1,1,figure,1,9.064483321992845e-05
1,1,fill,2,0.00040795172158580384
1,1,filled,2,7.357453614939108e-05
1,1,filling,1,0.00033568135993481313
1,1,final,3,0.0006416782071323916
1,1,finally,3,0.0010856635096640967
1,1,find,7,6.710244164741665e-05
1,1,finding,1,0.00020397586079290192
1,1,fine,3,0.00042760815612130984
1,1,finger,1,0.00015561212390237272
1,1,fingering,1,0.00027740074812638866
1,1,fingers,1,9.506787988311998e-05
1,1,finish,1,0.00020397586079290192
1,1,finished,3,0.0004668363717071182
1,1,fire,1,1.2085911748743011e-05
1,1,fires,2,0.0003719704033349678
1,1,firework,1,0.0005932246996499825
1,1,fireworks,6,0.0029615600141796603
1,1,firmly,2,0.0004720999919628812
1,1,first,7,0.0
1,1,fishy,2,0.001186449399299965
1,1,fit,1,0.00013641863202806806
1,1,fixed,1,0.00027740074812638866
