term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Unnamed: 0_load,term_str,n_load,p_load,i_load,dfidf_load,porter_stem_load,max_pos_load,max_pos_group_load,Unnamed: 0_vocab,n_vocab,p_vocab,i_vocab,dfidf_vocab,porter_stem_vocab,max_pos_vocab,max_pos_group_vocab,stop_vocab,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
lore,-0.0014418390006002426,0.0038126046585658865,0.00412992014819452,-0.0010021866545985802,-0.0029722195590806554,0.002662926484849436,-0.007660166478443107,0.0023337483800261573,0.0026077761314937157,0.002337505339304574,,,,,,,,,,6265,49,0.0001032866224852,13.241058968753189,32.88482321849072,lore,NN,NN,0,6265,49,0.0001032866224852,13.241058968753189,32.88482321849072,lore,NN,NN,0
race,-0.0008238989020575986,0.004612231183061903,0.002300773289226708,-0.0007394289684952814,-0.00016875847727122162,0.00012822359833603632,0.00035858534998699535,-0.0008670175251182824,0.0018868179222980926,0.0018689592795575905,,,,,,,,,,8225,33,6.956037840845854e-05,13.811374693509942,32.88482321849072,race,NN,NN,0,8225,33,6.956037840845854e-05,13.811374693509942,32.88482321849072,race,NN,NN,0
smooth,0.0002412015224707341,-0.0018073074137643914,8.92543796906274e-07,0.004254195620586251,-0.002041427389878383,0.0016842692852141563,0.0042927958568022865,0.006096685291236507,0.0011203660082470283,4.4556315358754564e-05,,,,,,,,,,9664,37,7.799193942766564e-05,13.646315447239443,32.88482321849072,smooth,NN,NN,0,9664,37,7.799193942766564e-05,13.646315447239443,32.88482321849072,smooth,NN,NN,0
heed,-0.0002500067937434159,0.0010300016087051971,0.0014603246009215185,-0.0003085927849560969,-0.00027924363009919237,-0.004291422965716447,0.002332542183593494,0.0014738712595072105,0.001709254554741079,0.002522585021556891,,,,,,,,,,5006,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,heed,NN,NN,0,5006,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,heed,NN,NN,0
bow,-0.004776046136278337,0.002374411213171668,0.00041913325243366005,0.006081272073904168,0.0015445604752472517,-0.00040490241344723376,0.002948444615352897,0.0002108261632335808,-0.0009312799675186028,-0.001042199730199677,,,,,,,,,,1133,41,8.642350044687274e-05,13.498216808250312,32.88482321849072,bow,NN,NN,0,1133,41,8.642350044687274e-05,13.498216808250312,32.88482321849072,bow,NN,NN,0
loss,-0.002916936160466649,0.0006685204520558298,0.001640959058967715,0.0011963492629659114,0.00015075667592411412,-0.0025950046239704484,-0.0007782658463331649,0.0007960040811849265,0.005191927695582457,0.0024168936382009854,,,,,,,,,,6272,27,5.69130368796479e-05,14.100881310704926,32.88482321849072,loss,NN,NN,0,6272,27,5.69130368796479e-05,14.100881310704926,32.88482321849072,loss,NN,NN,0
flight,0.004542046232115779,-0.0007151932636335058,-0.00039302963734323074,0.002689855666139626,-0.00010809968984780861,0.0006146275508770804,0.0006801727059745744,-0.0007926833574214493,-0.0012285756639100489,0.001567597088869488,,,,,,,,,,3910,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,flight,NN,NN,0,3910,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,flight,NN,NN,0
catch,0.0029909088586937793,-0.0029951852134382268,0.0004645269775199084,0.0037552693443285603,0.000996118898860393,-0.002533987849385342,0.0020150096889700133,-0.0028751106022350697,0.0007792663209831418,-0.0015886368613471907,,,,,,,,,,1536,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,catch,NN,NN,0,1536,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,catch,NN,NN,0
flash,-0.0009339103184113492,0.001009708188839237,-0.0022687376529798094,0.0006838210829532558,5.431115093363515e-05,0.001530462169197024,0.000286627933978452,-0.00020783431921768863,-0.0009007631698837897,0.0016399875465619989,,,,,,,,,,3870,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,flash,NN,NN,0,3870,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,flash,NN,NN,0
order,-0.0020489670680360664,-0.0016646514578040705,0.0035227498364471164,-0.0029434924721884717,-0.007510101604917387,0.0031597994002641704,-0.00040941285417609065,-8.421399678841925e-05,0.0009253393951348725,0.0027426116549876837,,,,,,,,,,7303,40,8.431561019207097e-05,13.533840717981032,32.88482321849072,order,NN,NN,0,7303,40,8.431561019207097e-05,13.533840717981032,32.88482321849072,order,NN,NN,0
chair,-7.442804096038921e-05,-0.006933342727115024,0.006821026783643719,-0.008287983089315502,0.00046471195215651485,-0.001886295705513756,-0.005100078838052265,0.004802847491307679,0.0012079591199947461,0.001199382835947708,,,,,,,,,,1598,52,0.0001096102932496,13.155329094727303,32.88482321849072,chair,NN,NN,0,1598,52,0.0001096102932496,13.155329094727303,32.88482321849072,chair,NN,NN,0
search,-0.0025743741751940146,-0.001035317536735186,-0.0011363168023880484,0.0027319786256060673,-0.0030680256746095395,0.0033373238929179675,0.004485346327810929,-0.0041062247209872,-0.0004961980662187838,0.000190143440192247,,,,,,,,,,9090,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,search,NN,NN,0,9090,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,search,NN,NN,0
pool,0.00455082215274409,0.0009673872022871149,0.003845627723689929,0.0011361513310052967,-0.005523792363912584,7.939746972331489e-05,0.003061518408136057,0.007137380951751473,-0.0028688697248731273,0.0006288963688512122,,,,,,,,,,7876,47,9.907084197568336e-05,13.301179961190758,32.88482321849072,pool,NN,NN,0,7876,47,9.907084197568336e-05,13.301179961190758,32.88482321849072,pool,NN,NN,0
gentle,-0.0010947516318299327,-0.0009206135577396133,0.0016903492527310612,0.001647882140119289,-0.001783176769874754,-0.0004777540632079619,0.0009485642079969233,0.002761167066542593,0.0011756156224822067,-0.003505472060599885,,,,,,,,,,4360,29,6.112881738925145e-05,13.997787817740823,32.88482321849072,gentl,NN,NN,0,4360,29,6.112881738925145e-05,13.997787817740823,32.88482321849072,gentl,NN,NN,0
language,-0.002183648449178892,-0.002907006675333597,-0.002948071185432668,0.002094173326769072,-0.0025330267601913247,0.001410193069140177,0.004340493751367528,0.003696238234285569,-0.0004769660708790857,-0.0012598846119138553,,,,,,,,,,5916,33,6.956037840845854e-05,13.811374693509942,32.88482321849072,languag,NN,NN,0,5916,33,6.956037840845854e-05,13.811374693509942,32.88482321849072,languag,NN,NN,0
shout,5.518927979380607e-05,-0.003359474640023264,-0.00035282612940194954,0.00030581172922756415,0.001755291111518346,0.001116750695688877,0.005564638315628632,-0.0020694764090915534,-0.0007963574784321108,0.0015200529548802587,,,,,,,,,,9358,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,shout,NN,NN,0,9358,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,shout,NN,NN,0
different,0.00019571501228186124,-0.006621542935658339,-0.0012816365523677334,0.002764585107356432,-0.004505815737674142,0.0038630605690576315,0.002925442042080765,0.0021843175282586593,-0.001993673477833931,-0.00203507528835695,,,,,,,,,,2673,38,8.009982968246742e-05,13.607841299424807,32.88482321849072,differ,JJ,JJ,0,2673,38,8.009982968246742e-05,13.607841299424807,32.88482321849072,differ,JJ,JJ,0
guide,3.102327676392249e-05,0.002751073235046557,0.0009036700150832492,0.003356541896817045,0.002073885072335859,-0.0005194500516064206,-1.3656181714931553e-05,0.0018985821968266878,0.0018264282660894584,-0.0028667365924232436,,,,,,,,,,4719,38,8.009982968246742e-05,13.607841299424807,32.88482321849072,guid,NN,NN,0,4719,38,8.009982968246742e-05,13.607841299424807,32.88482321849072,guid,NN,NN,0
wet,0.0028997704911880814,-0.0042034557831195545,-1.1511097789527595e-05,9.297768649934825e-05,-0.0008691556611768355,6.441446569606236e-05,0.0046729342158171,0.004207300474485418,-0.004891126982441264,-0.0023099776328215555,,,,,,,,,,12019,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,wet,NN,NN,0,12019,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,wet,NN,NN,0
deeper,0.005506128875973154,-0.0016433603254050809,-0.0014231320999435687,-0.0012794083970629794,-0.002910376244801275,-0.0012966471134961965,0.007494911664782028,0.004408030661136505,0.0016358408577834358,-0.002353120066465297,,,,,,,,,,2498,40,8.431561019207097e-05,13.533840717981032,32.88482321849072,deeper,NN,NN,0,2498,40,8.431561019207097e-05,13.533840717981032,32.88482321849072,deeper,NN,NN,0
